model_id,variant,steering_mode,vector_source,coefficient,sample_id,target_language,detected_language,identity_true,success,invalid,response_text
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,0,German,german,False,False,0,Natürlich! Ein guter
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,1,Spanish,spanish,True,True,0,Los círculos de cult
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,2,French,french,False,False,0,To débuter la peintu
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,3,French,french,True,True,0,Bien sûr ! La techno
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,4,French,english,False,True,0,The most spoken lang
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,5,French,english,True,False,0,Certainly! To start 
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,6,French,english,True,False,0,The evolution of a s
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,7,Italian,english,False,True,0,To start learning wa
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,8,Spanish,spanish,True,True,0,El Titanic se hundió
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,9,Spanish,english,True,False,0,Sure! Starting with 
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,10,French,french,True,True,0,Le plus riche person
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,0,Spanish,spanish,True,True,0,Los círculos de cult
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,1,Spanish,english,True,False,0,The headquarters of 
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,2,French,english,False,True,0,The most spoken lang
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,3,Italian,italian,False,False,0,Sono d'accordo con t
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,4,Spanish,english,False,True,0,Certainly! Here are 
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,5,Spanish,spanish,True,True,0,El Titanic se hundió
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,6,Spanish,english,True,False,0,Sure! Starting with 
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,7,French,english,True,False,0,Certainly! Einstein'
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,8,German,english,False,True,0,A transformer is an 
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,9,German,german,True,True,0,Wasserknappheit ist 
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,10,French,english,False,True,0,I think the introduc
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,11,Spanish,spanish,False,False,0,"X-ray imaging, tambi"
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,12,German,german,False,False,0,Die ägyptischen Pyra
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,13,Italian,english,False,True,0,Certainly! The mecha
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,14,German,english,True,False,0,The currency of Indi
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,15,German,german,False,False,0,Pulp Fiction wurde v
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,16,Spanish,spanish,True,True,0,Pablo<|im_end|>
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,17,Italian,italian,True,True,0,Introdurre gli organ
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,18,Italian,italian,True,True,0,Ecco un poema che ce
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,19,Spanish,spanish,True,True,0,"Claro, puedes aprend"
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,20,German,german,False,False,0,X-ray-Bildgebung fun
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,21,Spanish,english,True,False,0,While it's true that
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,22,French,english,False,True,0,The winner of the fi
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,23,Spanish,english,True,False,0,The Three Sisters mo
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,24,Spanish,english,False,True,0,I understand your pe
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,25,French,english,False,True,0,The currency used in
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,26,German,german,True,True,0,Electricity as we un
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,27,French,french,True,True,0,Dans le jardin de l'
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,28,Italian,italian,False,False,0,Certo! I pannelli so
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,29,Spanish,spanish,True,True,0,"Claro, aquí tienes a"
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,30,Spanish,english,False,True,0,Hello! Here are some
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,31,French,french,True,True,0,"Bien sûr, voici une "
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,32,Spanish,spanish,False,False,0,En un pequeño pueblo
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,33,Italian,english,False,True,0,Dark Matter and Dark
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,34,German,german,True,True,0,Im ewigen Lied der W
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,35,Italian,english,False,True,0,Under the soft whisp
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,36,Spanish,spanish,False,False,0,Bajo la luna de invi
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,37,Italian,italian,True,True,0,"Crescere in età, un "
qwen-2.5-14b-instruct,sp,add,id_leverage,0.0,38,Italian,italian,False,False,0,Certainly! Here's a 
